producto,categoria,cantidad,precio,producto_bd,score
Portarrollos Aries tapa,Accesorio baño,1,"23,98 €",porta rollos cristal tapa,83.33
Percha individual Aries,Accesorio baño,1,"10,20 €",Percha Indiv Aries,87.8
Percha doble Aries,Accesorio baño,1,"12,62 €",Percha doble SENSA,77.78
Toallero 40 cm Aries,Accesorio baño,1,"24,60 €",Toallero Aries 50cm,80
Portarrollos vertical Aries,Accesorio baño,1,"17,67 €","Portarollos vertical adhesivo Ref.Leo cromo, negro",76.19
Percha individual Cristal,Accesorio baño,3,"18,72 €",Percha Indiv Aries,74.42
Percha doble Cristal,Accesorio baño,2,"22,72 €",Percha doble SENSA,78.95
Portarrollos sin tapa Cristal,Accesorio baño,1,"32,40 €",Portarrollos c/tapa TAU,76.92
Toallero perpendicular Cristal,Accesorio baño,1,"27,00 €",Toallero perpendicular Serie Cristal,98.36
Toallero barra 40 Cristal,Accesorio baño,4,"32,00 €",Toallero barra 45cm TAU,82.61
Aro toallero Cristal,Accesorio baño,2,"25,13 €",Barra Toallero 50cm serie Cristal,82.61
Portarrollos Bahía tapa Ref2240208,Accesorio baño,3,"31,20 €",Portarrollos c/tapa TAU,65.45
Toallero repisa Bahía,Accesorio baño,1,"48,00 €",Toallero Repisa Bahía,100
Asa estriada 35 cm Bahía,Accesorio baño,6,"12,95 €",TAU ATORNILLADO 12225 BARRA 25,49.06
Portarrollos Bali con repisa,Accesorio baño,1,"41,20 €",Porta rollos s/tapa SENSA,64.15
Percha Bahía oro rosa,Accesorio baño,1,"17,40 €",Percha doble Leo adhesiva,55.32
Anilla oro rosa,Accesorio baño,2,"23,77 €",Anilla Roma,76.92
Escobillero redondo oro rosa,Accesorio baño,1,"43,43 €",Escobillero cromo Redondo Ref.974,75.47
Portarrollos oro rosa con tapa,Accesorio baño,1,"32,40 €",porta rollos cristal tapa,72.73
Percha 3 pomos Bahía,Accesorio baño,3,"1,00 €",Percha doble blanca,60
Toallero 40 cm oro rosa,Accesorio baño,1,"30,40 €",Toallero 40cm SENSA,73.68
Portarrollos vertical arena,Accesorio baño,1,"32,40 €",porta rollos cristal tapa,73.08
Barra toallero 40 cm Leo,Accesorio baño,4,"35,13 €",Barra Toallero 50cm serie Cristal,79.17
Barra toallero 50 cm Leo,Accesorio baño,1,"35,13 €",Barra Toallero 50cm serie Cristal,83.33
Toallero perpendicular Leo,Accesorio baño,5,"22,20 €",Toallero perpendicular TAU,88.46
Portarrollos aux Leo,Accesorio baño,1,"22,80 €",Portarrollo TAU,80
Percha individual Leo,Accesorio baño,4,"10,20 €",Percha Indiv Aries,71.79
Percha individual garra Leo,Accesorio baño,5,"11,40 €",Percha Indiv. Gara,75.56
Percha doble Leo,Accesorio baño,1,"26,52 €",Percha doble SENSA,82.35
Percha triple Leo,Accesorio baño,2,"22,20 €",Percha Triple Ref.Leo,97.14
Aro toallero Leo,Accesorio baño,3,"23,40 €",Barra toallero Ref.Aries,70.27
Portarrollos con tapa Leo,Accesorio baño,1,"25,20 €",Portarrollo con tapa Leo Ref.10302,85.71
Percha 4 pomos Leo,Accesorio baño,2,"25,87 €",ARIES 60314 PERCHA 4 POMOS,63.64
Escobillero Ref40J1 Leo,Accesorio baño,1,"12,00 €",Escobillero serie Luna,75.68
Barra toallero 25 cm Tau,Accesorio baño,1,"35,13 €",Barra Toallero 50cm serie Cristal,83.33
Barra toallero 35 cm Tau,Accesorio baño,4,"35,13 €",Barra Toallero 50cm serie Cristal,83.33
Barra toallero 45 cm Tau,Accesorio baño,2,"35,13 €",Barra Toallero 50cm serie Cristal,83.33
Toallero perpendicular Tau,Accesorio baño,2,"22,20 €",Toallero perpendicular TAU,100
Portarrollos aux vertical Tau,Accesorio baño,2,"31,20 €",Portarrollos c/tapa TAU,73.08
Percha individual Tau,Accesorio baño,4,"11,40 €",Percha Indiv. Gara,71.79
Barra toallero Tau 55 cm,Accesorio baño,1,"23,40 €",Barra toallero Ref.Aries,76.19
Portarrollos con tapa Tau,Accesorio baño,1,"31,20 €",Portarrollos c/tapa TAU,91.67
Aro toallero Tau,Accesorio baño,2,"27,00 €",Toallero aro TAU,75
Jabonera esquina doble,Accesorio baño,2,"9,60 €",Jabonera Serie Luna,66.67
Jabonera esquina Ref6001701,Accesorio baño,3,"37,86 €",JABONERA INOX ESQUINA 60017 22X22,83.02
Jabonera esquina Ref6001201,Accesorio baño,1,"37,86 €",JABONERA INOX ESQUINA 60017 22X22,83.02
Esquinera Ref60021,Accesorio baño,1,"25,20 €",Esquinera JR22 MEDI,64.71
Jabonera recta doble,Accesorio baño,1,"54,00 €",Jabonera doble MEDI JR27,63.64
Jabonera JR18 Ref60018,Accesorio baño,5,"34,83 €",Jabonera  Medi 60018,76.92
Jabonera JR19 Ref60019,Accesorio baño,3,"34,83 €",Jabonera  Medi 60018,71.79
Jabonera JR12 Ref60012,Accesorio baño,1,"34,83 €",Jabonera  Medi 60018,71.79
